trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
620,False,"{'a': 0.005, 'e': 0.0450492023935578}",20,0,23.94949987328903,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
621,False,"{'a': 0.005, 'e': 0.04482451855926687}",20,8,19.88881718351047,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
622,False,"{'a': 0.005, 'e': 0.044600955340274535}",25,14,19.697849210778923,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
623,False,"{'a': 0.005, 'e': 0.04437850714748865}",20,3,29.311382480333656,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
624,False,"{'a': 0.005, 'e': 0.04415716841969286}",25,6,33.84191515632259,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
625,False,"{'a': 0.005, 'e': 0.04393693362340742}",30,1,32.61488373361265,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 0}",1
626,False,"{'a': 0.005, 'e': 0.04371779725275094}",20,11,4.987340834992743,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
627,False,"{'a': 0.005, 'e': 0.04349975382930273}",20,0,30.590067884773145,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
628,False,"{'a': 0.005, 'e': 0.043282797901965896}",25,11,23.728937861049936,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
629,False,"{'a': 0.005, 'e': 0.04306692404683092}",20,11,14.88746932012298,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
630,False,"{'a': 0.005, 'e': 0.04285212686704019}",30,9,40.5005974898319,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
631,False,"{'a': 0.005, 'e': 0.04263840099265299}",20,6,24.032213750415206,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
632,False,"{'a': 0.005, 'e': 0.042425741080511385}",25,4,31.371820481235144,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
633,False,"{'a': 0.005, 'e': 0.04221414181410646}",20,12,-3.2403342285989423,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
634,False,"{'a': 0.005, 'e': 0.04200359790344555}",25,11,22.452922011119508,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
635,False,"{'a': 0.005, 'e': 0.041794104084919896}",20,3,25.960920508779537,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
636,False,"{'a': 0.005, 'e': 0.04158565512117316}",20,12,15.992539967770128,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
637,False,"{'a': 0.005, 'e': 0.04137824580097038}",30,8,33.82098674073791,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
638,False,"{'a': 0.005, 'e': 0.04117187093906774}",30,17,25.39828430890557,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
